,ApplicationID,LicenseNumber,LicenseType,ApplicationorRenewal,BusinessName,Status,LicenseCategory,ApplicationCategory,City,Zip,ContactPhone,LicenseStatus,EndYear,EndMonth,EndDay,StartYear,StartMonth,StartDay,LicenseCreationDateStartYear,LicenseCreationDateStartMonth,LicenseCreationDateStartDay,LicenseExpirationDateEndYear,LicenseExpirationDateEndMonth,LicenseExpirationDateEndDay
104620,1066-2017-RHIC,1294131-DCA,Business,Renewal,PEYKO TZENOV,Issued,Home Improvement Contractor,Special,BRONX,10467,9178047161,Active,2017,1,10,2017,1,9,2008,7,30,2021,2,28
168507,1164-2019-RDPD,1472251-DCA,Business,Renewal,AMERICAN EAST PHARMACY INC.,Issued,Dealer In Products,Basic,NEW YORK,10002,2129251900,Active,2019,1,10,2019,1,9,2013,8,26,2021,3,15
107987,33701-2016-RELE,2025971-DCA,Business,Renewal,LUCAS ELECTRONICS INC,Issued,Electronics Store,Basic,BROOKLYN,11222,347-987-3235,Active,2017,1,10,2016,12,31,2015,7,22,2020,12,31
102844,34278-2018-RELE,2047043-DCA,Business,Renewal,ELITE WIRELESS GROUP NY LLC,Issued,Electronics Store,Basic,BROOKLYN,11226,718-484-7746,Active,2019,1,8,2018,12,31,2017,1,5,2020,12,31
49008,949-2017-RHIC,1338463-DCA,Business,Renewal,"TAORMINA, MICHAEL",Issued,Home Improvement Contractor,Special,GREENLAWN,11740,6312362914,Inactive,2017,1,7,2017,1,6,2009,11,12,2019,2,28
23039,348-2017-RDEB,1325842-DCA,Business,Renewal,CREDIGY RECEIVABLES INC.,Issued,Debt Collection Agency,Basic,LAS VEGAS,89109,702-543-3036,Active,2017,1,11,2017,1,9,2009,7,13,2021,1,31
56601,18502-2019-RHIC,2053949-DCA,Business,Renewal,LAGRECA CONTRACTING INC.,Issued,Home Improvement Contractor,Special,CEDARHURST,11516,5163822545,Active,2019,4,26,2019,4,24,2017,6,5,2021,2,28
176442,20079-2017-AHIC,2064450-DCA,Business,Application,PLATINUM HOME IMPROVEMENT CORP,Issued,Home Improvement Contractor,Special,BROOKLYN,11209,7189864641,Active,2018,1,6,2018,1,5,2018,1,5,2021,2,28
124272,3767-2016-RSLS,0991308-DCA,Business,Renewal,"J.W. MARKET, INC.",Issued,Stoop Line Stand,Basic,NEW YORK,10012,212-228-9303,Active,2016,3,17,2016,3,16,2000,2,2,2020,3,31
150670,18984-2019-RHIC,1335917-DCA,Business,Renewal,MICROECOLOGIES INC.,Issued,Home Improvement Contractor,Special,NEW YORK,10035,2127553265,Active,2019,5,1,2019,4,30,2009,10,13,2021,2,28
186046,5029-2019-AADT,2085304-DCA,Business,Application,WONDERLAND MIDWAY CORP.,Issued,Amusement Device Temporary,Basic,FLUSHING,11358,7189289920,Inactive,2019,5,2,2019,5,1,2019,5,1,2019,5,19
194737,337-2019-RELE,1333055-DCA,Business,Renewal,UNIVERSAL ELECTRONICS & APPLIANCES INC.,Issued,Electronics Store,Basic,JAMAICA,11432,7182301214,Active,2019,1,4,2019,1,3,2009,9,15,2020,12,31
20580,18197-2017-ALAU,2064705-DCA,Business,Application,WEALTHY LAUNDROMAT INC.,Issued,Laundries,Basic,BROOKLYN,11219,9179606088,Inactive,2018,1,10,2017,12,27,2018,1,9,2019,12,31
163456,951-2017-RHIC,1003097-DCA,Business,Renewal,LIME-LIGHT CONSTRUCTION CORP,Issued,Home Improvement Contractor,Special,SOUTH OZONE PARK,11420,7188355657,Active,2017,1,7,2017,1,6,2011,6,27,2021,2,28
24272,18870-2017-ALAU,2064599-DCA,Business,Application,OLD BROADWAY LAUNDROMAT CORP,Issued,Laundries,Basic,NEW YORK,10031,2128767600,Active,2018,1,9,2017,12,1,2018,1,8,2021,12,31
2897,1208-2017-RSDR,0901954-DCA,Business,Renewal,"PERLMUTTER, LEON",Issued,Scale Dealer Repairer,Basic,LITTLE NECK,11362,7182793528,Active,2017,1,10,2017,1,9,2007,1,17,2021,2,28
131302,30919-2016-RHIC,1227603-DCA,Business,Renewal,"NATHOO, HILTON",Issued,Home Improvement Contractor,Special,RICHMOND HILL,11418,9176585866,Active,2017,1,12,2017,1,11,2006,5,19,2021,2,28
194957,24254-2016-RELE,1214200-DCA,Business,Renewal,"THE VEER NY ENTERPRISE, INC",Issued,Electronics Store,Basic,SUNNYSIDE,11104,7187066020,Active,2016,11,29,2016,11,28,2005,11,9,2020,12,31
114236,23657-2016-RHIC,2015794-DCA,Business,Renewal,FALCONE LANDSCAPE & CONSTRUCTION CONTRACTORS LLC,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10305,7182738665,Active,2016,11,27,2016,11,26,2014,11,24,2021,2,28
170596,7279-2016-RPWN,1374833-DCA,Business,Renewal,ANCOR GOLD INC,Issued,Pawnbroker,Basic,NEW YORK,10005,2123821020,Active,2016,5,19,2016,5,18,2010,10,19,2020,4,30
35719,24786-2016-RHIC,1309315-DCA,Business,Renewal,WILMAN CUSTOM DESIGN LLC,Issued,Home Improvement Contractor,Special,COLLEGE POINT,11356,7187973073,Active,2016,11,30,2016,11,29,2009,2,13,2021,2,28
107509,1007-2019-RHIC,1260209-DCA,Business,Renewal,CENTRAL TILE IMPORT LTD.,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10305,7189816700,Active,2019,1,9,2019,1,8,2007,6,29,2021,2,28
163131,1107-2019-RELE,1379821-DCA,Business,Renewal,"DYNAMIC CELLULAR 37TH STREET, INC.",Issued,Electronics Store,Basic,NEW YORK,10018,6463548577,Active,2019,1,9,2019,1,8,2010,12,30,2020,12,31
57160,18887-2019-RHIC,2056403-DCA,Business,Renewal,DANNY MADDEN,Issued,Home Improvement Contractor,Special,INWOOD,11096,347-268-4282,Active,2019,5,1,2019,4,30,2017,7,31,2021,2,28
143918,31304-2016-RHIC,1394089-DCA,Business,Renewal,PTU CONSTRUCTION INC.,Issued,Home Improvement Contractor,Special,LONG BEACH,11561,9178543414,Active,2017,1,7,2016,12,16,2011,5,27,2021,2,28
