,ApplicationID,LicenseNumber,LicenseType,ApplicationorRenewal,BusinessName,Status,StartDate,EndDate,LicenseCategory,ApplicationCategory,Street,City,Zip,ContactPhone,LicenseExpirationDate,LicenseStatus,LicenseCreationDate
104620,1066-2017-RHIC,1294131-DCA,Business,Renewal,PEYKO TZENOV,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,RESERVOIR OVAL E,BRONX,10467,9178047161,02/28/2021,Active,07/30/2008
168507,1164-2019-RDPD,1472251-DCA,Business,Renewal,AMERICAN EAST PHARMACY INC.,Issued,01/09/2019,01/10/2019,Dealer In Products,Basic,DIVISION ST,NEW YORK,10002,2129251900,03/15/2021,Active,08/26/2013
107987,33701-2016-RELE,2025971-DCA,Business,Renewal,LUCAS ELECTRONICS INC,Issued,12/31/2016,01/10/2017,Electronics Store,Basic,MANHATTAN AVE,BROOKLYN,11222,347-987-3235,12/31/2020,Active,07/22/2015
102844,34278-2018-RELE,2047043-DCA,Business,Renewal,ELITE WIRELESS GROUP NY LLC,Issued,12/31/2018,01/08/2019,Electronics Store,Basic,CHURCH AVE,BROOKLYN,11226,718-484-7746,12/31/2020,Active,01/05/2017
49008,949-2017-RHIC,1338463-DCA,Business,Renewal,"TAORMINA, MICHAEL",Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,CENTERPORT RD,GREENLAWN,11740,6312362914,02/28/2019,Inactive,11/12/2009
23039,348-2017-RDEB,1325842-DCA,Business,Renewal,CREDIGY RECEIVABLES INC.,Issued,01/09/2017,01/11/2017,Debt Collection Agency,Basic,PARADISE RD,LAS VEGAS,89109,702-543-3036,01/31/2021,Active,07/13/2009
56601,18502-2019-RHIC,2053949-DCA,Business,Renewal,LAGRECA CONTRACTING INC.,Issued,04/24/2019,04/26/2019,Home Improvement Contractor,Special,OCEANPOINT AVE,CEDARHURST,11516,5163822545,02/28/2021,Active,06/05/2017
176442,20079-2017-AHIC,2064450-DCA,Business,Application,PLATINUM HOME IMPROVEMENT CORP,Issued,01/05/2018,01/06/2018,Home Improvement Contractor,Special,73RD ST,BROOKLYN,11209,7189864641,02/28/2021,Active,01/05/2018
124272,3767-2016-RSLS,0991308-DCA,Business,Renewal,"J.W. MARKET, INC.",Issued,03/16/2016,03/17/2016,Stoop Line Stand,Basic,SULLIVAN ST,NEW YORK,10012,212-228-9303,03/31/2020,Active,02/02/2000
150670,18984-2019-RHIC,1335917-DCA,Business,Renewal,MICROECOLOGIES INC.,Issued,04/30/2019,05/01/2019,Home Improvement Contractor,Special,MADISON AVE,NEW YORK,10035,2127553265,02/28/2021,Active,10/13/2009
186046,5029-2019-AADT,2085304-DCA,Business,Application,WONDERLAND MIDWAY CORP.,Issued,05/01/2019,05/02/2019,Amusement Device Temporary,Basic,NORTHERN BLVD,FLUSHING,11358,7189289920,05/19/2019,Inactive,05/01/2019
194737,337-2019-RELE,1333055-DCA,Business,Renewal,UNIVERSAL ELECTRONICS & APPLIANCES INC.,Issued,01/03/2019,01/04/2019,Electronics Store,Basic,JAMAICA AVE,JAMAICA,11432,7182301214,12/31/2020,Active,09/15/2009
20580,18197-2017-ALAU,2064705-DCA,Business,Application,WEALTHY LAUNDROMAT INC.,Issued,12/27/2017,01/10/2018,Laundries,Basic,FORT HAMILTON PKWY,BROOKLYN,11219,9179606088,12/31/2019,Inactive,01/09/2018
163456,951-2017-RHIC,1003097-DCA,Business,Renewal,LIME-LIGHT CONSTRUCTION CORP,Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,128TH ST,SOUTH OZONE PARK,11420,7188355657,02/28/2021,Active,06/27/2011
24272,18870-2017-ALAU,2064599-DCA,Business,Application,OLD BROADWAY LAUNDROMAT CORP,Issued,12/01/2017,01/09/2018,Laundries,Basic,BROADWAY,NEW YORK,10031,2128767600,12/31/2021,Active,01/08/2018
2897,1208-2017-RSDR,0901954-DCA,Business,Renewal,"PERLMUTTER, LEON",Issued,01/09/2017,01/10/2017,Scale Dealer Repairer,Basic,LITTLE NECK PKWY,LITTLE NECK,11362,7182793528,02/28/2021,Active,01/17/2007
131302,30919-2016-RHIC,1227603-DCA,Business,Renewal,"NATHOO, HILTON",Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,114TH ST,RICHMOND HILL,11418,9176585866,02/28/2021,Active,05/19/2006
194957,24254-2016-RELE,1214200-DCA,Business,Renewal,"THE VEER NY ENTERPRISE, INC",Issued,11/28/2016,11/29/2016,Electronics Store,Basic,GREENPOINT AVE,SUNNYSIDE,11104,7187066020,12/31/2020,Active,11/09/2005
114236,23657-2016-RHIC,2015794-DCA,Business,Renewal,FALCONE LANDSCAPE & CONSTRUCTION CONTRACTORS LLC,Issued,11/26/2016,11/27/2016,Home Improvement Contractor,Special,WILLOW AVE,STATEN ISLAND,10305,7182738665,02/28/2021,Active,11/24/2014
170596,7279-2016-RPWN,1374833-DCA,Business,Renewal,ANCOR GOLD INC,Issued,05/18/2016,05/19/2016,Pawnbroker,Basic,WALL ST,NEW YORK,10005,2123821020,04/30/2020,Active,10/19/2010
35719,24786-2016-RHIC,1309315-DCA,Business,Renewal,WILMAN CUSTOM DESIGN LLC,Issued,11/29/2016,11/30/2016,Home Improvement Contractor,Special,123RD ST,COLLEGE POINT,11356,7187973073,02/28/2021,Active,02/13/2009
